date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-12-01 00:00:00,3.3,-0.5,10.2,,1,,7.2,,1020.8,
2021-12-02 00:00:00,5.4,1.7,11.5,,1,,7.3,,1017.8,
2021-12-03 00:00:00,7.1,1,12.7,,,,7.8,,1018.7,
2021-12-04 00:00:00,4.8,0,8.6,,,,7.2,,1023.5,
2021-12-05 00:00:00,3.1,-0.2,5.4,,,,6.6,,1018.8,
2021-12-06 00:00:00,4.6,0,8.4,,,,6.4,,1022.2,
2021-12-07 00:00:00,5.1,-0.4,10.2,,,,7,,1024.1,
2021-12-08 00:00:00,4.2,0,10.2,,,,11.1,,1028.5,
2021-12-09 00:00:00,-3.2,-5,0,,,,9.3,,1037.4,
2021-12-10 00:00:00,-4.4,-6,-0.2,,,,6.2,,1033.8,
2021-12-11 00:00:00,-0.6,-6.4,5.3,,,,6.6,,1023.9,
2021-12-12 00:00:00,3.6,-1.2,8.9,,,,7.7,,1023.5,
2021-12-13 00:00:00,1.2,-4,6.8,,,,6.3,,1024.9,
2021-12-14 00:00:00,-0.9,-2.9,1.9,,,,7.4,,1029.1,
2021-12-15 00:00:00,-1.2,-1,0.7,,,,6.8,,1033.8,
2021-12-16 00:00:00,-2.4,-5,1.4,,,,8,,1034.9,
2021-12-17 00:00:00,-2.3,-6,2.4,,,,5.4,,1027.5,
2021-12-18 00:00:00,0.9,-4,9.1,,,,6.8,,1019.2,
2021-12-19 00:00:00,5.3,-1,11.4,,,,7.5,,1014,
2021-12-20 00:00:00,6.6,1,10.2,,,,9.6,,1020.3,
2021-12-21 00:00:00,2.3,-3,7.7,,,,5.9,,1020.7,
2021-12-22 00:00:00,1.7,-5,10,,,,8.9,,1011.5,
2021-12-23 00:00:00,4.8,1.5,9.6,,,,6.3,,1018,
2021-12-24 00:00:00,2.1,1,4.3,,,,7.4,,1023.8,
2021-12-25 00:00:00,1.2,-1,6.5,,,,5.7,,1018.8,
2021-12-26 00:00:00,0.3,-2.8,3.3,,,,7.7,,1019.8,
2021-12-27 00:00:00,-1.3,-2,0.6,,,,8.7,,1030.2,
2021-12-28 00:00:00,-2.1,-3.4,-0.6,,,,5.6,,1030.2,
2021-12-29 00:00:00,-3.1,-5.1,0.8,,7,,6.1,,1024.7,
2021-12-30 00:00:00,-5,-9,-0.6,,6,,9.2,,1025.3,
2021-12-31 00:00:00,-6.5,-8,-3,,,,5,,1023.8,
2022-01-01 00:00:00,3.3,-0.4,7.3,,4,,3.6,,1019.3,
2022-01-02 00:00:00,1.3,-1.9,5.8,,3,,4.8,,1018.5,
2022-01-03 00:00:00,1.8,-1.9,7.3,,2,,7.5,,1010.1,
2022-01-04 00:00:00,4.3,0.4,7.6,,1,,8.2,,1009.5,
2022-01-05 00:00:00,0.5,-1,1,,,,7,,1016.6,
2022-01-06 00:00:00,-1.1,-2,-1,,,,6.7,,1019.4,
2022-01-07 00:00:00,-0.2,-2,1,,,,3.8,,1026.4,
2022-01-08 00:00:00,-0.3,-0.6,0.1,,,,7.4,,1025.2,
2022-01-09 00:00:00,-1.5,-1,-0.3,,1,,7,,1025.3,
2022-01-10 00:00:00,-2.5,-2,-2.2,,,,8.1,,1028.5,
2022-01-11 00:00:00,-3.1,-3,-1.9,,,,9,,1024.4,
2022-01-12 00:00:00,-0.6,-5.2,6.3,,,,4.8,,1017.6,
2022-01-13 00:00:00,2.2,-0.8,6.9,,,,6.8,,1015.2,
2022-01-14 00:00:00,3.4,-1.1,9.6,,,,8,,1014.8,
2022-01-15 00:00:00,2.9,-0.6,5.5,,,,11.5,,1009.5,
2022-01-16 00:00:00,6.9,0,13,,,,12,,1010.2,
2022-01-17 00:00:00,3.8,1,6.6,,,,10.2,,1015.1,
2022-01-18 00:00:00,0.2,-0.5,1.3,,,,6,,1019.1,
2022-01-19 00:00:00,-0.3,-1,3,,,,9.5,,1012.5,
2022-01-20 00:00:00,0.1,-3,2.4,,,,13.8,,1020.8,
2022-01-21 00:00:00,-2.5,-4.5,1,,2,,8.2,,1012.6,
2022-01-22 00:00:00,-2.9,-5,0.1,,2,,8.1,,1018.5,
2022-01-23 00:00:00,-3,-5,-1,,2,,6.3,,1023,
2022-01-24 00:00:00,-1.4,-2,0.5,,,,7.8,,1023.8,
2022-01-25 00:00:00,-3.1,-4,-2.1,,,,7.4,,1023.6,
2022-01-26 00:00:00,-3.7,-6,1,,1,,8,,1026.9,
2022-01-27 00:00:00,-4,-6.8,1.3,,1,,6.6,,1026.1,
2022-01-28 00:00:00,-4.3,-8.5,0,,1,,6.7,,1017,
2022-01-29 00:00:00,0.2,-4.4,4.9,,1,,6.8,,1019.6,
2022-01-30 00:00:00,-1.4,-4,2.6,,,,6.3,,1023.8,
2022-01-31 00:00:00,-3.4,-5.2,1.8,,2,,7.7,,1021.7,
2022-02-01 00:00:00,-4,-4,-1.5,,2,,8,,1024.3,
2022-02-02 00:00:00,-4.3,-6.3,0.5,,2,,7.7,,1020.8,
2022-02-03 00:00:00,-1.7,-5,3.5,,1,,5.9,,1027.8,
2022-02-04 00:00:00,-3.4,-5.8,0.5,,1,,5.6,,1026.2,
2022-02-05 00:00:00,-2.7,-6,3.2,,1,,6.4,,1015.8,
2022-02-06 00:00:00,0.3,-6.8,5,,1,,9.9,,1007,
2022-02-07 00:00:00,-0.1,-1,1,,,,10,,1022.8,
2022-02-08 00:00:00,-1.4,-2,-0.2,,,,7.5,,1020.6,
2022-02-09 00:00:00,-1.6,-3,-0.2,,5,,10.5,,1021.2,
